#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,mean,,,,,,,,
,result,table,_start,_stop,_time,_value,DayOfWeek,_field,_measurement
,,0,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-12T04:52:00Z,1122435,Friday,Extracted,Query #104 Extractions
,,0,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-19T03:36:00Z,1129587,Friday,Extracted,Query #104 Extractions
,,0,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-26T06:24:00Z,1136779,Friday,Extracted,Query #104 Extractions
,,1,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-01T04:32:00Z,1107819,Monday,Extracted,Query #104 Extractions
,,1,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-08T03:16:00Z,1117315,Monday,Extracted,Query #104 Extractions
,,1,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-15T06:04:00Z,1125256,Monday,Extracted,Query #104 Extractions
,,1,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-22T04:48:00Z,1131837,Monday,Extracted,Query #104 Extractions
,,1,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-29T03:32:00Z,1139149,Monday,Extracted,Query #104 Extractions
,,2,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-06T06:32:00Z,1110636,Saturday,Extracted,Query #104 Extractions
,,2,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-13T05:16:00Z,1118293,Saturday,Extracted,Query #104 Extractions
,,2,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-27T02:44:00Z,1132560,Saturday,Extracted,Query #104 Extractions
,,3,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-07T02:52:00Z,1110615,Sunday,Extracted,Query #104 Extractions
,,3,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-14T05:40:00Z,1118264,Sunday,Extracted,Query #104 Extractions
,,3,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-21T04:24:00Z,1125618,Sunday,Extracted,Query #104 Extractions
,,4,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-04T05:44:00Z,1113993,Thursday,Extracted,Query #104 Extractions
,,4,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-11T04:28:00Z,1122038,Thursday,Extracted,Query #104 Extractions
,,4,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-18T03:12:00Z,1128718,Thursday,Extracted,Query #104 Extractions
,,4,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-25T06:00:00Z,1136363,Thursday,Extracted,Query #104 Extractions
,,5,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-02T04:56:00Z,1110640,Tuesday,Extracted,Query #104 Extractions
,,5,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-09T03:40:00Z,1118851,Tuesday,Extracted,Query #104 Extractions
,,5,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-16T06:28:00Z,1126582,Tuesday,Extracted,Query #104 Extractions
,,5,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-23T05:12:00Z,1133729,Tuesday,Extracted,Query #104 Extractions
,,5,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-30T03:56:00Z,1140485,Tuesday,Extracted,Query #104 Extractions
,,6,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-03T05:20:00Z,1112586,Wednesday,Extracted,Query #104 Extractions
,,6,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-10T04:04:00Z,1120866,Wednesday,Extracted,Query #104 Extractions
,,6,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-17T06:52:00Z,1127382,Wednesday,Extracted,Query #104 Extractions
,,6,2021-05-01T10:23:35Z,2021-07-01T10:23:35Z,2021-06-24T05:36:00Z,1135097,Wednesday,Extracted,Query #104 Extractions

