"DayOfWeek","DayOfYear","Records Affected","Timestamp","WeekNbr"
3,316,147005,2019-11-12T10:20:47.000Z,45
4,317,147127,2019-11-13T10:38:39.000Z,45
4,310,146767,2019-11-06T10:23:39.000Z,44
5,311,146800,2019-11-07T10:22:49.000Z,44
6,312,146843,2019-11-08T10:23:17.000Z,44
7,313,146864,2019-11-09T10:24:53.000Z,44
2,315,146360,2019-11-11T10:18:15.000Z,45
3,309,146663,2019-11-05T10:17:19.000Z,44
6,305,146506,2019-11-01T09:20:21.000Z,43
7,306,146537,2019-11-02T09:20:21.000Z,43
2,308,146020,2019-11-04T10:11:37.000Z,44
5,304,146419,2019-10-31T09:26:48.000Z,43
4,303,146317,2019-10-30T09:27:20.000Z,43
7,166,138865,2019-06-15T09:11:44.000Z,23
3,176,139341,2019-06-25T09:23:27.000Z,25
7,173,139155,2019-06-22T09:39:50.000Z,24
2,175,139202,2019-06-24T09:01:14.000Z,25
6,172,139178,2019-06-21T09:16:41.000Z,24
4,170,139032,2019-06-19T09:33:00.000Z,24
5,171,139098,2019-06-20T09:16:01.000Z,24
3,169,138948,2019-06-18T09:43:34.000Z,24
2,168,138358,2019-06-17T09:00:56.000Z,24
7,180,139488,2019-06-29T09:09:21.000Z,25
6,179,139461,2019-06-28T09:30:48.000Z,25
4,177,139499,2019-06-26T09:39:37.000Z,25
5,178,139484,2019-06-27T09:28:15.000Z,25
3,302,146248,2019-10-29T09:20:55.000Z,43
6,298,146080,2019-10-25T09:20:13.000Z,42
3,295,145818,2019-10-22T09:15:21.000Z,42
7,299,146116,2019-10-26T09:24:31.000Z,42
2,301,145625,2019-10-28T09:13:19.000Z,43
2,189,139404,2019-07-08T08:58:55.000Z,27
7,187,139929,2019-07-06T09:12:46.000Z,26
5,185,139969,2019-07-04T09:18:49.000Z,26
6,186,139938,2019-07-05T09:07:20.000Z,26
4,184,139927,2019-07-03T09:10:20.000Z,26
5,297,146009,2019-10-24T09:15:47.000Z,42
2,294,145189,2019-10-21T09:05:36.000Z,42
4,296,145983,2019-10-23T09:29:23.000Z,42
6,291,145692,2019-10-18T09:15:50.000Z,41
7,292,145687,2019-10-19T09:30:38.000Z,41
5,262,143714,2019-09-19T09:26:28.000Z,37
5,262,143714,2019-09-19T09:27:09.000Z,37
7,264,143837,2019-09-21T09:31:45.000Z,37
4,268,144160,2019-09-25T09:27:48.000Z,38
2,266,143382,2019-09-23T09:18:16.000Z,38
7,271,144372,2019-09-28T09:39:08.000Z,38
5,269,144312,2019-09-26T09:44:43.000Z,38
6,270,144327,2019-09-27T09:37:15.000Z,38
3,267,144088,2019-09-24T09:32:13.000Z,38
2,273,143942,2019-09-30T09:17:00.000Z,39
3,253,143095,2019-09-10T09:34:47.000Z,36
7,250,142974,2019-09-07T09:27:14.000Z,35
6,249,142985,2019-09-06T09:28:32.000Z,35
4,247,142689,2019-09-04T09:35:46.000Z,35
5,290,145624,2019-10-17T09:26:59.000Z,41
5,255,143343,2019-09-12T09:34:02.000Z,36
4,254,143253,2019-09-11T09:21:37.000Z,36
6,256,143306,2019-09-13T09:35:55.000Z,36
3,260,143563,2019-09-17T09:28:56.000Z,37
7,257,143380,2019-09-14T09:34:36.000Z,36
2,259,142894,2019-09-16T09:21:29.000Z,37
2,259,142894,2019-09-16T09:22:22.000Z,37
6,263,143864,2019-09-20T09:37:45.000Z,37
4,261,143696,2019-09-18T09:30:46.000Z,37
7,278,144800,2019-10-05T09:44:24.000Z,39
5,276,144626,2019-10-03T09:41:34.000Z,39
3,246,142085,2019-09-03T09:19:59.000Z,35
5,248,142936,2019-09-05T09:21:43.000Z,35
2,252,142410,2019-09-09T09:18:24.000Z,36
4,289,145587,2019-10-16T09:15:33.000Z,41
3,288,145463,2019-10-15T09:21:04.000Z,41
3,281,145051,2019-10-08T09:41:02.000Z,40
4,282,145186,2019-10-09T09:43:39.000Z,40
5,283,145281,2019-10-10T09:41:29.000Z,40
6,284,145337,2019-10-11T09:20:04.000Z,40
7,285,145330,2019-10-12T09:26:57.000Z,40
2,287,144834,2019-10-14T09:03:10.000Z,41
4,275,144715,2019-10-02T10:06:56.000Z,39
6,277,144775,2019-10-04T09:33:42.000Z,39
3,274,144568,2019-10-01T09:41:56.000Z,39
